Transaction ID,Date,City,Branch,Shop Name,Product ID,Product Category,Unit Price,Qty Sold,Revenue,Profit,Weekday,Year,Month
CUS1001,44591,Los Angeles,Venice Beach,Coffee House,TEA001,Snacks,3,2,6,2.1,Sun,2022,Jan
CUS1002,45025,Los Angeles,Venice Beach,Coffee House,SND001,Cold Drinks,3.1,2,6.2,2.17,Sun,2023,Apr
CUS1003,44704,Los Angeles,Capitol Hill,Espresso,TEA001,Tea Beverages,4.5,2,9,3.15,Mon,2022,May
CUS1004,44821,Los Angeles,Venice Beach,Beach Cafe,TEA001,Tea Beverages,2,1,2,0.7,Sat,2022,Sep
CUS1005,44716,Chicago,Michigan Avenue,Magnificent Mile Cafe,DES001,Cold Drinks,3.1,2,6.2,2.17,Sat,2022,Jun
CUS1006,45109,Chicago,Michigan Avenue,Loop Latte Lounge,SPC001,Snacks,3,1,3,1.05,Sun,2023,Jul
CUS1007,44852,Chicago,Michigan Avenue,Magnificent Mile Cafe,TEA001,Snacks,2,1,2,0.7,Tue,2022,Oct
CUS1008,44593,New York,Brooklyn,Beanery,TEA001,Snacks,2,2,4,1.4,Tue,2022,Feb
CUS1009,45196,Chicago,Madison Street,Park Brew,DES001,Coffee Beverages,4.25,1,4.25,1.4875,Wed,2023,Sep
CUS1010,44542,Seattle,Capitol Hill,Brew Cafe,TEA001,Desserts,3.5,2,7,2.45,Sun,2021,Dec
CUS1011,44394,Los Angeles,Capitol Hill,Espresso,SKT001,Snacks,2.55,1,2.55,0.8925,Sat,2021,Jul
CUS1012,44439,Los Angeles,Venice Beach,Coffee House,SPC001,Tea Beverages,3.5,2,7,2.45,Tue,2021,Aug
CUS1013,44510,New York,Brooklyn,Beanery,COF001,Snacks,3,1,3,1.05,Wed,2021,Nov
CUS1014,44491,New York,Central Park,TSQ Brew,SPC001,Snacks,3.1,1,3.1,1.085,Fri,2021,Oct
CUS1015,44292,New York,Brooklyn,Sip & Savor,COF001,Cold Drinks,3,2,6,2.1,Tue,2021,Apr
CUS1016,44850,Austin,Zilker Park,Lakeside Brew ,SPC001,Sandwiches ,3,2,6,2.1,Sun,2022,Oct
CUS1017,44344,Los Angeles,Hollywood Hills,Hills Cafe,DES001,Desserts,3.75,1,3.75,1.3125,Fri,2021,May
CUS1018,45063,New York,Brooklyn,Beanery,DES001,Specialty Drinks,2.5,1,2.5,0.875,Wed,2023,May
CUS1019,44776,Chicago,Madison Street,Park Brew,TEA001,Cold Drinks,4.5,2,9,3.15,Wed,2022,Aug
CUS1020,45205,Chicago,Michigan Avenue,Loop Latte Lounge,SND001,Tea Beverages,4.75,1,4.75,1.6625,Fri,2023,Oct
CUS1021,44354,Austin,Zilker Park,Lakeside Brew ,SND001,Specialty Drinks,3.5,2,7,2.45,Mon,2021,Jun
CUS1022,44902,Austin,Central Park,Suburban Sip Spot,COF001,Specialty Drinks,2.55,2,5.1,1.785,Wed,2022,Dec
CUS1023,45214,Austin,Zilker Park,Lakeside Brew ,COF001,Sandwiches ,3.25,1,3.25,1.1375,Sun,2023,Oct
CUS1024,44835,Austin,Central Park,Delight Café,SKT001,Tea Beverages,2.55,1,2.55,0.8925,Sat,2022,Oct
CUS1025,44853,Los Angeles,Capitol Hill,Espresso,SKT001,Snacks,3.75,1,3.75,1.3125,Wed,2022,Oct
CUS1026,44510,Austin,Central Park,Delight Café,DES001,Desserts,3,1,3,1.05,Wed,2021,Nov
CUS1027,44356,Chicago,Michigan Avenue,Loop Latte Lounge,CLD001,Tea Beverages,3.5,1,3.5,1.225,Wed,2021,Jun
CUS1028,44307,New York,Brooklyn,Sip & Savor,SKT001,Desserts,3,2,6,2.1,Wed,2021,Apr
CUS1029,44910,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Coffee Beverages,3.75,1,3.75,1.3125,Thu,2022,Dec
CUS1030,44831,Austin,Central Park,Delight Café,COF001,Desserts,3.75,2,7.5,2.625,Tue,2022,Sep
CUS1031,45211,Seattle,Capitol Hill,Brew Cafe,COF001,Tea Beverages,3.75,1,3.75,1.3125,Thu,2023,Oct
CUS1032,45037,Los Angeles,Hollywood Hills,Hills Cafe,SKT001,Tea Beverages,3,1,3,1.05,Fri,2023,Apr
CUS1033,44785,Austin,Central Park,Suburban Sip Spot,CLD001,Tea Beverages,3.5,2,7,2.45,Fri,2022,Aug
CUS1034,45178,Chicago,Madison Street,Park Roaste,COF001,Desserts,2.5,2,5,1.75,Sat,2023,Sep
CUS1035,44850,Austin,Central Park,Delight Café,DES001,Specialty Drinks,2.5,1,2.5,0.875,Sun,2022,Oct
CUS1036,45041,Los Angeles,Venice Beach,Coffee House,DES001,Desserts,3,1,3,1.05,Tue,2023,Apr
CUS1037,44452,Austin,Central Park,Suburban Sip Spot,SPC001,Specialty Drinks,4,1,4,1.4,Mon,2021,Sep
CUS1038,44678,Los Angeles,Hollywood Hills,Hills Cafe,DES001,Tea Beverages,3.75,2,7.5,2.625,Wed,2022,Apr
CUS1039,44368,Austin,Zilker Park,Lakeside Brew ,CLD001,Tea Beverages,3,1,3,1.05,Mon,2021,Jun
CUS1040,45031,Austin,Zilker Park,Lakeside Brew ,TEA001,Specialty Drinks,3,2,6,2.1,Sat,2023,Apr
CUS1041,44520,Los Angeles,Hollywood Hills,Hills Cafe,SND001,Specialty Drinks,3,1,3,1.05,Sat,2021,Nov
CUS1042,44336,Austin,Central Park,Delight Café,SKT001,Snacks,3.75,2,7.5,2.625,Thu,2021,May
CUS1043,45211,New York,Central Park,C P Coffee ,TEA001,Snacks,4.5,1,4.5,1.575,Thu,2023,Oct
CUS1044,44947,Los Angeles,Venice Beach,Coffee House,SPC001,Cold Drinks,2.55,1,2.55,0.8925,Sat,2023,Jan
CUS1045,45254,Austin,Central Park,Suburban Sip Spot,TEA001,Desserts,3,1,3,1.05,Fri,2023,Nov
CUS1046,44750,New York,Central Park,TSQ Brew,COF001,Snacks,2.5,1,2.5,0.875,Fri,2022,Jul
CUS1047,44984,Los Angeles,Capitol Hill,Espresso,DES001,Desserts,2.55,2,5.1,1.785,Mon,2023,Feb
CUS1048,44776,New York,Central Park,TSQ Brew,CLD001,Cold Drinks,2.5,1,2.5,0.875,Wed,2022,Aug
CUS1049,45253,Los Angeles,Venice Beach,Coffee House,COF001,Specialty Drinks,2.5,1,2.5,0.875,Thu,2023,Nov
CUS1050,45180,Los Angeles,Venice Beach,Beach Cafe,COF001,Specialty Drinks,2.5,1,2.5,0.875,Mon,2023,Sep
CUS1051,44480,Seattle,Capitol Hill,Brew Cafe,CLD001,Coffee Beverages,3,1,3,1.05,Mon,2021,Oct
CUS1052,44464,Seattle,Capitol Hill,Brew Cafe,DES001,Cold Drinks,3,2,6,2.1,Sat,2021,Sep
CUS1053,44256,Seattle,Capitol Hill,Brew Cafe,CLD001,Desserts,3,2,6,2.1,Mon,2021,Mar
CUS1054,45095,Austin,Central Park,Delight Café,SKT001,Tea Beverages,2.2,2,4.4,1.54,Sun,2023,Jun
CUS1055,44626,Chicago,Michigan Avenue,Magnificent Mile Cafe,SPC001,Cold Drinks,4.5,1,4.5,1.575,Sun,2022,Mar
